condition,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3
TRIAE_CS42_1DL_TGACV1_061147_AA0186980,5.682398798,6.206154467,4.748395689,5.292304324,3.705448919,4.949433422,5.411967429,4.914065655,5.138735297,3.342112407,5.044108754,5.729937432,4.34993207,5.765416783,4.161834972,6.737551603,5.320494623,5.077895109,5.501927374,4.140053795,5.796179324,4.143590178,4.174433423,5.250759193,5.141792203,5.821473654,5.768789636,3.958881782,5.237420208,4.596795214
TRIAE_CS42_1DL_TGACV1_062477_AA0215020,7.274076706,7.824662701,6.7534245,7.394655172,6.691179612,6.461268156,7.222842331,7.019380997,6.981715805,6.145448999,7.401937486,8.042709558,5.880293935,6.986066889,5.981039848,8.208092435,7.034165614,6.858168002,6.904952455,6.220472549,7.595906902,7.137054326,6.347316177,7.312408124,6.428485491,7.449627782,6.825507592,6.538854764,6.951131289,6.922092409
TRIAE_CS42_1DL_TGACV1_064769_AA0235650,6.240784936,7.007247973,5.893191219,6.739725155,6.012374894,5.50560792,6.553478315,6.24848417,6.400513559,6.07768582,6.629996448,7.331257928,5.084950864,6.305049299,5.13551016,7.229585195,6.337505942,5.993496232,6.367217214,6.448882116,6.97755041,6.182355841,6.046694384,6.525339727,5.738380339,6.556539691,6.026211083,5.759324397,6.343157326,6.704408473
TRIAE_CS42_1DS_TGACV1_080209_AA0243170,7.577473533,8.725788565,7.198142888,7.494255784,6.488488641,6.605622767,7.242347893,6.5424283,8.392569572,7.651295434,7.08211909,8.827299892,6.381237339,7.642340136,5.724217974,8.249812602,8.348033271,7.250238698,8.118343016,8.078364332,8.108071566,7.212536253,6.250555962,7.987138468,5.849216705,7.992035418,6.601268161,7.354606766,6.713123574,8.096443192
TRIAE_CS42_1DS_TGACV1_081102_AA0257700,7.534327792,7.977638135,7.253802146,7.969726816,7.363575383,6.759145404,7.698794485,7.760665432,7.66141788,7.301125026,8.187906596,8.628359415,6.523895878,7.55580172,6.4103548,8.585499705,7.703404218,7.387645704,7.740731817,7.279644851,8.038875544,7.830353358,7.30094404,7.715598602,7.171471176,7.998451764,7.578828579,7.015752725,7.831446003,7.771702439
TRIAE_CS42_2AL_TGACV1_092989_AA0268900,6.27116611,7.1632452,5.813827202,6.111362461,5.955982178,5.225744523,5.942119879,5.34328882,6.998236546,6.10421829,5.890077516,7.515549343,4.903464994,5.989396034,4.549326132,6.997239429,6.779449068,5.445240994,6.522390401,6.91441704,6.751428901,5.885529978,5.283647793,6.533875753,5.110141551,6.654196849,5.380687824,5.579244803,5.580632814,6.841366621
TRIAE_CS42_2AL_TGACV1_093177_AA0274160,5.683926646,7.579454079,5.927890894,6.545684374,5.667173814,5.250423551,6.427908161,5.669922301,6.297560415,5.653751541,6.214984028,7.162614528,4.956200227,6.501049401,4.773266036,6.485468476,6.36339183,6.099239895,6.217599619,6.107477128,7.046621168,5.972268986,4.68557898,6.458286558,5.233533482,6.781830313,5.88216852,5.7719301,5.050496828,5.875453066
TRIAE_CS42_2AL_TGACV1_094444_AA0297600,7.77331256,6.639667969,6.460753859,5.562061448,5.31431866,4.869946923,5.792940435,6.115432859,6.691963388,6.345724076,7.006350965,6.760080916,4.293159901,4.91012227,4.48119527,6.994419096,5.631745689,5.746560954,7.09036846,6.277975309,8.674302918,5.593245622,4.615496684,7.011259072,5.147447964,5.92326065,5.701489849,4.509767702,6.408304713,6.41417018
TRIAE_CS42_2AS_TGACV1_112388_AA0336990,8.321591847,8.017897508,7.162149405,6.757084703,4.539528123,5.847874161,5.416558075,5.16408287,7.396635862,5.552684353,5.885606686,7.217810202,3.972176928,6.150257293,3.860173767,7.902587284,7.119101515,6.417726886,6.730410517,6.202343191,8.658826425,6.059034407,3.696738491,7.570525723,3.3546053,6.517495482,5.421865972,6.098853754,5.344976691,6.039432945
TRIAE_CS42_2AS_TGACV1_112832_AA0345940,4.951995784,5.747700472,5.272060656,5.330886197,5.218716645,4.134953734,5.291932024,5.703279015,6.424967884,6.896867219,5.078568048,6.310187333,4.198686559,4.260638358,4.444313404,6.113122289,5.105757577,5.414227538,6.583840664,6.616000926,6.087399532,6.295503981,4.562822027,5.931425223,4.567529584,5.099768862,5.018319032,3.90863728,6.565759214,6.126021663
