condition,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3
TRIAE_CS42_3B_TGACV1_223174_AA0777390,5.606698723,6.4983454,5.567519736,5.724222154,5.738908277,4.941085124,5.771684084,5.239421562,5.855796588,4.418004113,6.175457623,6.887804581,4.401477484,5.398710063,4.725172978,7.04205013,5.62916309,5.337456346,5.990726775,5.028763317,6.038801275,5.903010312,5.003899325,5.874039885,5.273419983,5.879093403,5.783015624,5.05017006,5.711710961,5.77689662
TRIAE_CS42_3B_TGACV1_223234_AA0778600,5.159629847,5.919006751,5.233416113,5.31556772,4.979708623,4.699243237,5.287579926,5.199882811,5.809039985,5.64676758,5.662581936,6.652149226,3.852273001,5.296886343,3.691376334,6.371073241,5.726196069,4.625737227,5.381688375,5.98025192,5.701446415,5.835766421,3.852273001,5.636085192,4.112511866,5.732269505,4.7100796,4.954121378,5.374041532,5.984603564
TRIAE_CS42_3B_TGACV1_224114_AA0792470,6.6707321,7.50854043,6.022299234,6.074531907,5.51800696,5.649889312,6.255652148,4.864051469,6.130582804,3.836154407,6.79042789,7.48387976,5.41748167,6.393794747,5.393309314,7.468290644,6.356213558,5.482857294,6.449121962,4.436176221,6.411338678,5.88859537,5.60404685,6.351752706,5.367773464,6.659692558,5.648590362,5.855258151,3.901220872,6.308508194
TRIAE_CS42_3B_TGACV1_224807_AA0801790,6.898874965,7.419320629,6.282274224,6.440043422,6.280397712,5.768614703,6.74015641,5.892425674,7.428190582,6.579694169,7.098920944,7.847602368,5.598725617,6.633890638,5.366858803,7.48369988,7.122673091,6.283798284,7.229961959,7.195944723,7.654831777,6.383994691,6.02035808,6.922082157,5.852719587,7.169134443,6.032683263,6.125230287,5.889512106,7.2558949
TRIAE_CS42_3DL_TGACV1_249320_AA0845360,6.517554575,8.126121992,6.334149587,7.600727444,6.737580056,6.155787598,7.458947113,6.97602122,8.046677431,7.3336568,6.896587147,8.214300014,5.722767775,7.341833759,6.014636492,7.744548155,7.493896146,6.840248089,7.749106924,7.629426746,7.526442887,7.041201668,6.121555967,7.533902244,6.587712536,7.333460827,7.075487595,6.539301233,7.226376269,7.647375656
TRIAE_CS42_3DL_TGACV1_250121_AA0862420,7.339005086,8.297055119,6.513246431,6.823418867,5.778698216,6.024234208,6.679156877,5.104356333,6.77349219,4.591469762,7.370967146,7.992552579,5.737494453,7.174900405,5.686521016,7.961262107,7.227546297,6.150641147,6.975170907,4.98604201,7.435089877,6.393380029,5.805412039,7.099358626,5.700229504,7.438912802,5.90436953,6.314239836,4.082351263,6.664238087
TRIAE_CS42_3DL_TGACV1_250988_AA0875890,5.426143138,6.876904242,5.546535896,6.007278839,5.834339866,5.266181497,6.460057807,5.858053147,5.984653907,5.203055686,5.979366662,6.801784577,4.072621993,6.048324444,4.45094617,6.57992876,5.72342169,5.615188027,6.08138523,5.497299364,6.534573414,5.989404928,4.543379885,6.315896735,5.746570535,6.110471278,5.947862651,5.280876149,5.965402873,6.052305616
TRIAE_CS42_3DL_TGACV1_251066_AA0877020,5.836747661,6.415259303,5.422325431,6.0883292,5.642091806,5.091572986,6.162519835,6.095003279,6.262202863,6.005061439,6.179855398,6.700259904,4.417183814,5.692944927,4.668313985,6.756648628,6.061882003,5.747772884,6.110538749,5.926606562,6.497289187,5.983076465,5.466016705,6.114203057,5.506158024,6.07863948,5.68511736,5.232623233,6.284635155,6.247978849
TRIAE_CS42_3DL_TGACV1_251277_AA0879580,5.850231573,6.315376085,5.340750223,5.971822907,5.304573754,4.96275022,5.850141737,5.81557665,5.792617493,5.203747313,6.098331328,6.661376365,4.544662995,5.654495937,4.569516065,6.651032969,5.637506979,5.672218533,5.710226666,5.252634619,6.252803286,5.946661461,5.183219036,5.920275426,5.107682147,5.93413809,5.501260251,5.264344261,5.787352186,5.889403305
TRIAE_CS42_3DL_TGACV1_252598_AA0890970,6.343996948,6.697323095,5.540217115,6.274297695,5.4087396,5.112310026,6.050941852,5.912887411,5.83540968,4.98086863,6.418821602,6.811255612,4.759307866,5.984353322,4.613451799,7.003177034,5.890681041,5.596301193,5.778270275,5.203277845,6.401832284,5.939447359,5.206891204,6.153669936,5.259620716,6.120038045,5.489544154,5.435894315,5.699318392,5.679464338
TRIAE_CS42_3DL_TGACV1_253070_AA0893220,4.345103281,4.89858579,3.980330042,4.575741375,3.37490474,3.586292865,4.139364135,4.017979943,4.78892405,5.161781465,4.395682961,5.408005505,2.493205453,3.897790198,3.18221184,5.094473865,4.054447487,3.763522997,4.469735269,5.274413942,4.712435886,4.54309689,2.493205453,4.273362055,3.299533728,4.220977213,3.597750521,3.835338486,4.278054044,4.772987057
TRIAE_CS42_3DS_TGACV1_271450_AA0898770,6.239924907,7.148091702,5.886491595,6.933713334,6.521369596,5.723912499,7.071402552,7.017785584,5.74971268,5.521860038,7.244329439,7.236662185,5.23627014,6.571946262,5.869432497,7.18700578,5.35943636,6.23952137,6.513377429,4.837075243,7.034514089,6.410339671,6.14732448,6.659659878,6.685391424,6.285798075,6.435558687,5.313700881,7.222929821,6.297953163
TRIAE_CS42_3DS_TGACV1_271450_AA0898780,6.88497067,7.354224765,6.221694927,6.986137532,6.545806453,5.810320297,6.958024349,6.782235139,6.927853941,6.578017257,7.115151489,7.854361032,5.768802442,6.495818273,5.522051144,7.589347963,6.717775674,6.342337593,7.072757722,6.92961657,7.411832987,6.910319987,6.699749078,6.943312559,6.258519715,6.958486415,6.307827002,5.8567639,6.849013259,7.1746508
TRIAE_CS42_3DS_TGACV1_272250_AA0917810,3.000719815,4.500920165,3.852273001,3.18221184,4.096009842,2.778819272,3.808882247,4.552358898,5.841847326,5.895732528,2.839078464,4.511957804,2.312535424,2.895911938,3.095577609,5.015894772,4.370712875,4.46993105,5.09436351,5.945878619,3.972176928,4.597640912,2.208274414,4.54128745,3.529297384,3.740047741,4.220977213,2.895911938,6.111689044,5.130490256
TRIAE_CS42_3DS_TGACV1_272946_AA0926870,-2.302585093,3.699760045,2.895911938,1.960094784,3.450644473,1.131402111,2.57261223,4.353126778,5.500510993,5.911855704,1.410986974,3.222867846,2.179929204,1.808288771,2.778819272,4.496083849,3.548553603,3.750654003,5.015669269,5.459466358,2.778819272,4.143510846,0.09531018,3.873282177,3.000719815,3.164875712,3.972176928,0.741937345,6.126530699,4.839688795
TRIAE_CS42_3DS_TGACV1_273510_AA0931840,7.239815655,7.932947051,6.88126961,7.160609077,7.42727143,6.47395088,7.64311964,6.854374017,7.93736541,7.367694052,8.000157995,8.532784611,6.481014643,6.936289284,6.401497042,8.255223829,7.556033223,6.979847077,7.856851575,7.866241142,8.204989165,7.218258213,7.067384638,7.442072599,7.105640918,8.049812679,6.849394755,6.581242284,7.05873743,8.015570424
TRIAE_CS42_3DS_TGACV1_274243_AA0935140,4.808633343,5.485016826,4.840977216,4.832377469,5.232791692,4.087148734,5.191683819,5.735707407,6.106764502,5.935624088,5.452496617,5.954043014,4.092006832,4.612890309,4.192453851,5.937599528,5.082099775,5.552001762,5.906951864,5.784990657,5.338729677,5.535750336,4.746018495,5.712332486,4.877781767,5.6244398,5.161775733,4.695659674,5.614918474,6.170294599
TRIAE_CS42_4AL_TGACV1_288159_AA0938900,5.709985529,7.284954648,5.452882246,5.574805647,5.002455329,5.096301606,5.98965441,5.398238174,6.564095272,5.521138466,4.342828321,6.731750529,4.005445951,5.93564365,3.860150596,6.658848949,6.640338211,5.908709915,5.891265964,6.071139264,6.562353835,5.585722026,4.723423333,6.511654092,4.87310047,6.012812793,5.214446508,5.784280463,5.690987973,6.087564415
TRIAE_CS42_4AL_TGACV1_288159_AA0938910,5.330920075,7.0256272,5.438513997,5.460010956,5.460010956,5.063227744,6.116821054,5.555815967,6.248236279,4.91338991,4.128745989,6.990247292,4.291828367,5.814154412,4.044804117,6.579506735,6.34258434,5.736894826,6.001048474,5.900171289,6.144400203,5.690697235,4.455509411,6.22728935,5.240831252,6.3155804,5.602487757,5.739207532,5.602487757,5.903725633
TRIAE_CS42_4AL_TGACV1_289610_AA0974040,5.539269401,6.171379043,4.722810989,5.352241946,4.445646765,4.512296934,5.01637214,4.799502655,5.41775237,5.226230428,4.769777433,6.037183333,3.390176878,5.206240454,3.384674969,5.913805663,5.519370735,4.933631852,4.902678819,5.356477778,5.744489263,5.31245693,4.021438688,5.090924125,3.90457131,5.299351831,4.517580824,4.923754818,5.221123098,5.154348839
TRIAE_CS42_4AL_TGACV1_290824_AA0989770,8.593594817,7.859281872,7.06598904,6.445343558,4.602281016,5.80770696,5.83064711,5.435018106,6.842635255,3.839037173,7.435272814,7.684659798,5.426926037,6.029215431,5.543472868,7.679598106,6.343699398,5.492674537,7.278021442,5.02019611,8.931180548,4.960092595,5.462228826,7.328811544,5.166744056,6.750641714,5.704971767,5.415086555,5.216032982,6.291580251
TRIAE_CS42_4AL_TGACV1_291021_AA0991430,6.010638276,6.698635188,5.510262408,6.288592826,5.3274943,5.25074923,6.233342508,5.856600925,5.896955991,5.684703965,5.955441177,6.692676495,4.254923678,5.918918612,4.631301763,6.97135364,5.998960457,5.668245794,5.794956506,5.705887458,5.847621024,5.809474965,5.386235886,6.09056388,5.0741339,5.915485876,5.46466887,5.352558978,6.16885082,6.081805149
TRIAE_CS42_4AL_TGACV1_292230_AA0998160,5.643855526,6.553876422,4.987250659,5.951844954,5.572123613,5.061379104,6.371384471,5.711525751,6.67745367,5.890245444,5.919826215,7.573145782,4.543424561,5.968689657,4.556245663,6.632892027,6.584027288,5.554353961,6.319128461,6.670904461,6.958115638,6.336165336,4.34553639,5.926261805,4.968333038,6.517152675,5.507151018,5.38533416,5.573848413,6.513023858
TRIAE_CS42_4AL_TGACV1_292667_AA0999420,6.549792935,6.651938473,5.637265179,6.126198654,5.801121806,5.359915021,6.273066045,5.86288061,6.344056025,5.638709766,6.438826592,7.030752166,5.024932862,5.770423472,4.92797806,7.014527877,6.249317497,5.653513217,6.15507081,5.944568151,6.909439889,6.026107732,5.958682773,6.200711182,5.583870675,6.197717655,5.543976059,5.242276346,5.905633283,6.548010198
TRIAE_CS42_4AS_TGACV1_306789_AA1013420,4.15451104,5.068853886,3.922373256,4.400483995,4.463827795,3.844850619,4.548946864,4.119420841,4.690595306,4.864367904,4.316060428,5.26278863,3.656617076,3.808964283,3.379234623,4.993543389,4.482325487,4.314856654,5.015304377,4.802782573,5.068029606,4.345958946,4.174538028,4.536872073,4.082201128,4.487886651,4.015582701,3.668436922,4.827361284,5.014965903
TRIAE_CS42_4AS_TGACV1_307303_AA1019290,2.104442643,5.993130658,4.819603917,4.741151076,5.892864461,4.611072732,5.822477687,5.570681466,6.894348813,6.301484633,2.418473001,4.855454083,2.714694744,5.01414247,4.864691953,6.607869713,5.135263,5.572427759,6.574294503,6.290870748,4.024338678,5.222019306,3.109569758,6.059604388,6.125580144,5.626228058,5.695881343,4.069595823,6.83505447,6.643430294
TRIAE_CS42_4BL_TGACV1_320395_AA1037640,4.647335598,5.595083429,4.407938016,4.779963476,5.712361569,4.220977213,4.757036831,5.320181593,5.486434596,5.593342413,5.303804783,6.510406841,4.467056884,4.206184044,3.740047741,5.95609718,4.346671441,4.692704759,5.866751303,5.924523141,5.822183097,5.386795168,5.756059885,5.666772303,4.455509411,5.689348809,4.079230924,4.455509411,5.349148304,6.403739747
TRIAE_CS42_4BL_TGACV1_320737_AA1047550,3.412460382,5.079850363,4.438470766,4.31072664,4.795294555,3.672574752,4.569242445,4.362251132,6.00910307,5.75140688,3.231361553,4.258827395,1.860534317,3.898593228,3.295203332,5.706940815,4.22505991,4.548615707,5.679216521,5.578544218,4.679163866,4.510841924,2.242005658,5.197866999,4.253856559,4.634379413,4.575205701,2.928876403,5.467498802,5.469973921
TRIAE_CS42_4BL_TGACV1_322187_AA1069400,4.191168747,4.518500569,3.782413057,4.102425159,4.432006567,3.808882247,4.645400005,4.220977213,4.606169686,4.745801316,4.527666918,5.196345547,3.404525172,4.079022781,2.646174797,4.966272315,4.400396864,4.050876709,4.999486712,4.92797806,5.24123895,4.381800359,4.407938016,4.235554731,3.817050569,4.55492897,3.866550631,3.716008122,4.683056725,4.999007958
TRIAE_CS42_4BL_TGACV1_322713_AA1072770,5.708511276,6.932760038,5.372895942,6.1522645,5.676253677,5.350625146,6.26250453,6.318553613,6.504404933,6.372846982,5.723898778,6.998144279,4.66704579,5.895545432,4.606169686,6.890723051,5.99344758,6.116198922,6.27051573,6.572602771,6.330818342,6.145208716,4.759177998,6.151642739,5.638073491,6.171884297,6.020608215,5.299411767,6.626844893,6.398561656
TRIAE_CS42_4BS_TGACV1_327925_AA1078970,5.553676382,6.293859108,4.996603981,5.810155478,5.298027324,4.575855684,6.000850362,5.333959569,6.08537147,5.145172015,5.998628822,7.373637929,5.113570872,5.564734944,4.514629315,6.463581567,6.138461126,5.00471782,6.05604838,5.969009305,6.849271988,5.684015047,4.513371733,5.996156025,4.927333392,6.156213862,5.657131022,5.809078988,4.669964924,6.04884863
TRIAE_CS42_4BS_TGACV1_328604_AA1090920,6.116135584,6.396797647,5.173358043,5.720312104,5.44901826,4.890149108,5.963835609,5.285558315,5.891919036,5.075801056,6.092505095,6.753244201,4.867841326,5.425125773,4.57574086,6.598080735,5.953313721,5.222641319,5.883601737,5.592944019,6.5257826,5.566899567,5.736895084,5.943061808,5.187944309,6.032063637,5.10047417,5.118595368,5.499544907,6.164041277
TRIAE_CS42_4DL_TGACV1_342726_AA1120400,4.896032197,6.779788944,5.751740547,5.823563513,5.837896614,5.320558195,6.232339956,5.964537753,6.974011075,6.34789171,3.906057246,6.057219516,3.45878052,5.797394243,4.733844804,7.189507303,6.135590865,6.081780458,6.739502294,6.432962601,6.168907556,6.238332438,3.675703025,6.641772074,5.876550205,6.266672895,5.950079894,5.174968244,6.851769942,6.662063159
TRIAE_CS42_4DL_TGACV1_343385_AA1133860,6.651421475,6.982041174,6.148628539,6.966116919,6.023641279,5.895182971,6.570708577,6.445760136,6.202660611,5.589699585,7.034893705,7.457238938,5.221386105,6.51292502,5.463945782,7.588126747,6.474681279,6.095366575,6.412238376,5.683660036,6.872949215,6.517604062,5.911614737,6.636446431,5.873836031,6.735209424,6.312189334,6.051223382,6.453562477,6.378760593
TRIAE_CS42_4DL_TGACV1_344745_AA1149460,6.211503283,6.592259294,5.845912625,6.485247262,5.687229561,5.467220126,6.321616855,6.222693325,6.062670634,5.777444871,6.746912591,7.151861569,4.803750516,6.10119973,5.013338304,7.194864687,6.138009951,5.969356965,6.028738655,5.712034995,6.639606517,6.356163215,5.663515881,6.238185944,5.58999395,6.517387629,5.930894143,5.689250732,6.031165914,6.225755732
TRIAE_CS42_4DS_TGACV1_361684_AA1171560,5.655099805,6.882455932,5.513517452,6.488691122,6.184901185,5.456947996,6.820736629,6.00885004,6.419636558,5.784455753,6.403701673,7.556731112,5.004114077,6.319420264,5.240322721,7.091134609,6.437396387,5.46686111,6.496058293,6.293554205,7.330031617,6.017607327,4.897227672,6.372336371,6.249710729,6.561047639,6.169112701,5.483987477,5.443105785,6.763670105
TRIAE_CS42_4DS_TGACV1_361919_AA1174300,8.074667755,7.617671569,6.840840604,6.586330263,4.908391398,5.412311902,5.687480314,4.901256345,6.442879281,4.223104171,6.745465735,7.337737375,5.034455331,6.475690003,5.185829847,7.491442999,6.324926901,5.120925439,6.630717686,4.867697514,8.385833154,4.863106199,4.777018759,6.993430097,5.062712115,6.355444246,5.531545893,5.211992845,5.209193214,6.048640877
TRIAE_CS42_4DS_TGACV1_361920_AA1174310,3.61283769,4.161222532,3.529297384,3.586292865,3.335769576,3.299533728,4.065746165,3.600643692,5.142248181,5.04407007,3.933784497,5.436965646,3.399732977,2.714694744,2.825483546,5.041642885,4.07140512,3.261977459,4.655207192,5.186446818,3.933784497,4.055290102,2.646174797,3.953164949,2.895911938,4.710430697,3.61361697,3.486466408,3.790831166,5.109261183
TRIAE_CS42_4DS_TGACV1_362079_AA1176500,6.063996373,6.467198989,5.139887887,5.711822599,5.549462897,5.008095538,5.972951458,5.386281952,5.852488358,5.290289479,6.053033311,6.689011895,4.875961001,5.387180513,4.739765762,6.68738443,5.98871665,5.133349677,5.779740513,5.521866636,6.485230768,5.477148892,5.710758234,5.886381493,5.130487968,5.993774801,5.128906662,4.977423327,5.50892017,6.082167128
TRIAE_CS42_5AL_TGACV1_373966_AA1185670,6.62768417,4.620226272,4.531159748,3.561594228,3.819787095,3.18772772,3.701541452,3.81348141,5.236415367,3.335769576,5.060485214,4.528588233,2.208274414,1.960094784,2.208274414,5.412328854,4.018042904,3.926067912,5.144676557,3.914021008,8.547668079,4.707230261,2.323994272,5.014421451,2.746302497,4.252487263,3.387253956,2.646174797,3.18221184,4.355491419
TRIAE_CS42_5AL_TGACV1_374706_AA1207030,5.462776163,7.176002207,6.146067982,6.0798531,6.004511563,5.6074441,6.631834438,6.579742758,6.907632271,6.106002323,5.707442435,6.916972668,4.808780194,6.674004419,5.231643233,7.322814219,6.657632284,6.556055083,7.064468387,6.172672985,6.208569905,6.501384261,4.935193099,6.653322279,5.686782117,6.64199646,6.315200665,5.947091986,6.667731302,6.509012028
TRIAE_CS42_5AL_TGACV1_375282_AA1219060,6.661175482,7.182298919,6.143322601,6.519154663,6.421397852,5.843611081,6.837567766,6.33416201,6.790218713,6.013837398,6.70482971,7.463062369,5.320762089,6.315826246,5.419203139,7.513354029,6.852830134,6.172040832,6.527675714,6.434477496,7.098177272,6.383758292,5.879196899,6.74759709,6.174492105,6.978563169,6.381061079,6.139343458,5.858761383,6.75072947
TRIAE_CS42_5AL_TGACV1_376003_AA1230550,4.78422809,5.072933808,4.930415348,3.518615906,4.522248254,3.942701569,4.696846499,3.740047741,5.497356732,5.39999812,4.539305987,5.464793207,3.706937914,3.873282177,3.492110028,5.73050879,4.779963476,3.994877756,5.12717311,5.686714305,5.245891852,5.659649449,3.691548389,4.353431668,3.52889261,5.070450176,3.379152843,3.972176928,3.979274094,5.621964859
TRIAE_CS42_5AL_TGACV1_377373_AA1246230,6.551266303,6.954041053,5.813778231,6.620587341,5.743426496,5.608766528,6.481875094,6.232031427,6.368342749,5.877293835,6.72131702,7.145962222,4.880818669,6.198875569,4.940363033,7.323282883,6.581548973,5.904565182,6.303186141,6.182564771,6.93088042,6.152097493,5.805831112,6.465597763,5.554331241,6.636396586,5.92468191,5.702027602,6.269009594,6.492897195
TRIAE_CS42_5AS_TGACV1_392881_AA1265790,5.823838294,6.201317387,5.232999609,5.994010528,5.289868125,4.983625937,6.037329126,5.702995899,6.014068544,5.712121277,6.26079545,6.584052114,4.635008173,5.669166547,4.803292091,6.839807144,5.926811086,5.551460012,6.020193466,5.708550107,6.480298459,5.874167799,5.476577688,5.724355916,5.466615089,6.143585218,5.577456678,5.220410959,5.933036068,6.066258659
TRIAE_CS42_5AS_TGACV1_397735_AA1283770,7.018491321,6.911846897,6.692207804,7.335699169,6.766306915,6.433100852,7.323896527,6.71913392,6.385363019,6.375195163,7.193760947,7.383430295,5.288771954,6.901837805,6.021266038,7.729339649,6.742998553,6.047608558,6.710644905,6.393757964,7.291724327,6.34229746,6.777760482,6.801394263,6.663260402,6.646520377,6.425031085,5.900171289,6.82339493,6.660703183
TRIAE_CS42_5BL_TGACV1_404418_AA1299190,5.620969545,6.307475297,5.13831292,5.256239375,5.10702368,4.889145397,5.398108401,4.901118003,5.690139836,4.597207568,5.719790329,6.730809248,4.424863398,5.132014818,3.906576198,6.384193899,5.786335874,4.760454509,5.371158823,5.212568828,5.981583389,5.517597464,4.8463501,5.693456006,4.746252995,6.186825717,5.04339931,4.998400756,4.38028011,5.912618831
TRIAE_CS42_5BL_TGACV1_405531_AA1329640,6.670803709,7.049676367,6.034126448,6.755638879,6.001922917,5.506790146,6.693356753,6.225059492,6.583509494,6.061029088,6.843356908,7.268256145,5.093814677,6.421658365,5.103505226,7.438735468,6.645907281,6.027540899,6.417008388,6.20350529,7.097971011,6.226903598,5.945373749,6.681237291,5.822753841,6.677597183,6.099429992,5.731140151,6.397679541,6.580610427
TRIAE_CS42_5BL_TGACV1_406163_AA1341560,7.214798705,4.732164005,4.251312698,3.886469272,3.904482648,3.731910208,4.122126706,4.354982979,5.341496581,3.873282177,5.082776095,4.508977517,3.000719815,2.57261223,3.222867846,5.332747778,4.041158249,4.353088177,5.179342371,3.904025107,8.960856695,4.573559801,3.460610289,5.006981962,2.828951333,4.044525619,4.235596698,3.275679509,3.763522997,4.775899815
TRIAE_CS42_5BL_TGACV1_407645_AA1358580,5.321051966,4.324335285,3.507210684,3.071182915,3.04927304,3.095577609,3.691376334,3.83081295,4.450924002,3.222867846,2.578199645,4.062165664,2.091864062,2.312535424,0.741937345,4.494905442,3.095577609,3.520330617,4.126011174,3.640214282,7.8162114,4.318820559,2.406945108,4.066800346,2.646174797,3.244453899,3.095577609,2.208274414,2.778819272,4.14472077
TRIAE_CS42_5BS_TGACV1_423369_AA1375270,4.280547051,5.599536153,3.880936385,3.934944294,4.595698471,3.53051131,4.064780143,4.667726118,5.331397147,4.511195714,3.82556711,5.142673573,2.312535028,4.532233835,3.47677475,5.772929734,4.248640946,4.55965909,5.148991031,4.666502322,4.896747412,5.570760666,3.552775326,4.870443293,4.12109035,4.092131114,4.187326276,3.667060646,5.637883384,4.524200882
TRIAE_CS42_5BS_TGACV1_424024_AA1386160,6.02617269,6.381540176,5.129229852,5.902042995,5.613777531,4.76370268,5.918436761,5.704472237,5.308163732,4.947624494,6.803726099,6.58995346,5.09805381,5.436495447,5.048605225,6.439872599,5.511858966,5.389131089,5.492876241,5.001829974,6.65314557,5.799519836,6.302710547,5.882466869,5.539540493,5.862764323,5.163648184,4.962662796,5.51766974,5.708010192
TRIAE_CS42_5BS_TGACV1_424441_AA1389760,6.556945315,6.943879761,6.125484733,6.951189602,5.992933538,5.772008563,6.63810418,6.515203089,6.534919605,6.065496088,6.981483508,7.526742857,5.149697281,6.512568171,5.2236637,7.581291006,6.572585434,6.301895367,6.569376646,6.110495249,6.975669035,6.688517465,6.070249618,6.752149354,5.954373864,6.910718942,6.329208831,5.946404439,6.532462959,6.637155719
TRIAE_CS42_5BS_TGACV1_424513_AA1390380,6.218663066,6.677233324,5.704294677,6.362983103,5.919698638,5.356468815,6.493286257,6.189161051,6.433184436,6.147705184,6.462570693,6.989692806,4.897226926,6.015097086,5.121709655,7.171513187,6.287261728,5.952353328,6.364711169,6.147200612,6.848483929,6.269685125,5.77899291,6.289861571,5.857656831,6.459270451,5.899720352,5.538573656,6.500876522,6.400564707
TRIAE_CS42_5DL_TGACV1_432937_AA1395210,7.989789576,5.688605248,5.739551726,4.557640327,4.615923165,3.987783326,4.291828367,4.683303965,6.270749084,4.383277103,6.608456918,5.577154815,3.586291757,3.529297971,3.666122211,6.46437878,4.826836647,4.91173299,6.139805023,5.007953702,9.118892952,5.657411432,3.936660397,6.167367633,3.605155395,5.021283071,4.414162211,3.886476453,4.332047608,5.374251492
TRIAE_CS42_5DL_TGACV1_433028_AA1398790,7.378442362,7.866973614,6.850011647,6.883838018,6.576367057,6.578945485,7.050721647,6.572543488,7.520887081,6.540233463,7.159036507,8.295699703,5.881256189,6.999527298,5.425392387,8.1947651,7.711799396,6.820983364,7.034602709,7.31641468,7.71472513,7.151725717,6.000183675,7.244257587,6.198766683,7.813600365,6.534443856,6.984502779,5.803428695,7.477741112
TRIAE_CS42_5DL_TGACV1_433458_AA1413630,7.070435196,8.466240892,6.879899895,7.687469988,5.729989936,6.568803772,7.16509154,6.390483926,7.517537155,6.792972737,6.060118028,8.238280555,5.277001795,7.573006973,4.763028629,7.630208803,7.783761372,7.288176046,6.977812917,7.668612509,7.754490124,7.695994434,5.159635591,7.444459154,5.25801607,7.102491125,6.681259866,7.339271426,5.833294969,7.089159749
TRIAE_CS42_5DL_TGACV1_434974_AA1444340,5.453095135,6.536097363,4.700544,6.08398493,3.528159787,4.770421878,5.399428416,4.041105516,3.346026403,1.808288771,4.757589768,5.301417257,1.623561701,6.092673206,2.977538771,5.552709166,5.083997274,4.722013046,2.984560097,1.336696996,5.848144545,4.839941868,2.916570012,5.287246308,2.487287147,4.217187368,4.392710607,4.847189347,3.734027279,3.102737436
TRIAE_CS42_5DL_TGACV1_435071_AA1445660,7.340116878,8.042868239,7.035883207,7.775222931,6.621445598,6.604722519,7.252735647,7.418483298,6.859439652,5.716014688,7.89421512,8.463811528,5.875008537,7.292679509,5.991112445,8.121579638,7.209024452,6.900469327,7.173113008,5.855078265,7.533445551,7.663247013,6.5679431,7.321120102,6.573623694,7.449957062,7.164260876,6.875003234,7.011647304,6.845998928
TRIAE_CS42_5DL_TGACV1_436129_AA1458370,6.528162575,6.886969749,5.991424546,6.637285554,5.789847015,5.620882634,6.502899485,6.019223186,6.319213129,5.839600418,6.787573243,7.152488096,4.864074626,6.252061867,5.117280984,7.350850092,6.545371212,5.993629701,6.268757211,6.051119287,6.915128033,6.307028653,5.799353227,6.513743332,5.687127887,6.560374156,5.876438021,5.668172568,6.274564262,6.440766301
TRIAE_CS42_5DL_TGACV1_436840_AA1463530,5.112288948,3.740047741,2.899045146,2.71943185,2.646174797,2.493205453,3.095577609,2.778819272,4.096009842,2.778819272,2.895911938,3.374374168,1.960094784,1.960094784,0.741937345,4.092946919,2.778819272,2.667533715,3.796064305,3.335769576,7.404978812,3.370738174,2.091864062,3.668148546,2.091864062,3.022972857,2.646174797,2.312535424,2.714694744,3.61361697
TRIAE_CS42_5DS_TGACV1_457224_AA1483920,5.628031102,6.082712693,4.977343763,5.990229735,5.41224962,4.810442433,6.087706111,5.706688249,6.051142839,5.753841675,5.931070439,6.381698582,4.1398866,5.612153179,4.395180986,6.695863241,5.924719326,5.488252367,6.024032652,5.775257818,6.473644694,5.607320398,5.386566311,5.798392743,5.394250125,6.009387222,5.467591677,4.734345856,5.968809857,5.811524153
TRIAE_CS42_5DS_TGACV1_457468_AA1486850,6.188836793,6.529324673,5.214599288,5.937356769,5.801752145,5.048351671,6.032704854,5.633381469,5.625393815,5.193809432,6.917588474,6.793697048,5.347578848,5.499346998,5.18599937,6.685791282,5.830960058,5.479888642,5.608669715,5.39965209,6.666148196,5.87913704,6.353474335,5.858034578,5.452519759,6.281378502,5.37829238,5.07582985,5.706656341,5.923781621
TRIAE_CS42_6AL_TGACV1_471763_AA1513980,6.665678304,7.023212269,5.996871279,6.668833554,6.162104388,5.688319977,6.75370058,6.379054,6.751300046,6.544721848,6.845233603,7.505563504,5.412648674,6.294539372,5.130566835,7.527177176,6.697104616,6.30934848,6.632545674,6.661203749,7.158227809,6.554169046,6.205932978,6.596258405,5.863034236,6.906493583,6.211730943,5.967004192,6.637021424,6.862987782
TRIAE_CS42_6AL_TGACV1_472165_AA1518500,7.286405459,7.681758406,6.720922442,7.485778884,6.099956106,6.492338921,7.08979788,7.147720627,6.567009363,5.181075997,7.518948092,8.089573268,5.636825743,7.060717796,5.826168235,8.051598708,6.997882962,6.708094707,6.702697563,5.582685454,7.574698054,7.189104869,5.923522641,7.156896971,6.112876103,7.332665434,6.793343255,6.623237528,6.636116095,6.794657799
TRIAE_CS42_6AS_TGACV1_486199_AA1558070,6.326712284,7.776362614,6.157757496,7.328930337,6.104356977,5.749243612,6.860620694,5.591524896,7.461152342,6.248784572,7.022483877,8.330071975,5.938530434,6.882194672,5.26483452,7.319796716,7.431080457,6.668472183,7.281883131,7.03896221,7.25317593,6.304740168,5.87654067,6.940249574,5.28356001,7.560460601,6.376897001,6.517226565,5.145294384,7.281367081
