"condition","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT"
"time","3","3","3","7","7","7","10","10","10","13","13","13","15","15","15","17","17","17","19","19","19","21","21","21","23","23","23","26","26","26"
"TRIAE_CS42_1DL_TGACv1_061147_AA0186980","5.682398798","5.044108754","5.796179324","6.206154467","5.729937432","4.143590178","4.748395689","4.34993207","4.174433423","5.292304324","5.765416783","5.250759193","3.705448919","4.161834972","5.141792203","4.949433422","6.737551603","5.821473654","5.411967429","5.320494623","5.768789636","4.914065655","5.077895109","3.958881782","5.138735297","5.501927374","5.237420208","3.342112407","4.140053795","4.596795214"
"TRIAE_CS42_1DL_TGACv1_062477_AA0215020","7.274076706","7.401937486","7.595906902","7.824662701","8.042709558","7.137054326","6.7534245","5.880293935","6.347316177","7.394655172","6.986066889","7.312408124","6.691179612","5.981039848","6.428485491","6.461268156","8.208092435","7.449627782","7.222842331","7.034165614","6.825507592","7.019380997","6.858168002","6.538854764","6.981715805","6.904952455","6.951131289","6.145448999","6.220472549","6.922092409"
"TRIAE_CS42_1DL_TGACv1_064769_AA0235650","6.240784936","6.629996448","6.97755041","7.007247973","7.331257928","6.182355841","5.893191219","5.084950864","6.046694384","6.739725155","6.305049299","6.525339727","6.012374894","5.13551016","5.738380339","5.50560792","7.229585195","6.556539691","6.553478315","6.337505942","6.026211083","6.24848417","5.993496232","5.759324397","6.400513559","6.367217214","6.343157326","6.07768582","6.448882116","6.704408473"
"TRIAE_CS42_1DS_TGACv1_080209_AA0243170","7.577473533","7.08211909","8.108071566","8.725788565","8.827299892","7.212536253","7.198142888","6.381237339","6.250555962","7.494255784","7.642340136","7.987138468","6.488488641","5.724217974","5.849216705","6.605622767","8.249812602","7.992035418","7.242347893","8.348033271","6.601268161","6.5424283","7.250238698","7.354606766","8.392569572","8.118343016","6.713123574","7.651295434","8.078364332","8.096443192"
"TRIAE_CS42_1DS_TGACv1_081102_AA0257700","7.534327792","8.187906596","8.038875544","7.977638135","8.628359415","7.830353358","7.253802146","6.523895878","7.30094404","7.969726816","7.55580172","7.715598602","7.363575383","6.4103548","7.171471176","6.759145404","8.585499705","7.998451764","7.698794485","7.703404218","7.578828579","7.760665432","7.387645704","7.015752725","7.66141788","7.740731817","7.831446003","7.301125026","7.279644851","7.771702439"
"TRIAE_CS42_2AL_TGACv1_092989_AA0268900","6.27116611","5.890077516","6.751428901","7.1632452","7.515549343","5.885529978","5.813827202","4.903464994","5.283647793","6.111362461","5.989396034","6.533875753","5.955982178","4.549326132","5.110141551","5.225744523","6.997239429","6.654196849","5.942119879","6.779449068","5.380687824","5.34328882","5.445240994","5.579244803","6.998236546","6.522390401","5.580632814","6.10421829","6.91441704","6.841366621"
"TRIAE_CS42_2AL_TGACv1_093177_AA0274160","5.683926646","6.214984028","7.046621168","7.579454079","7.162614528","5.972268986","5.927890894","4.956200227","4.68557898","6.545684374","6.501049401","6.458286558","5.667173814","4.773266036","5.233533482","5.250423551","6.485468476","6.781830313","6.427908161","6.36339183","5.88216852","5.669922301","6.099239895","5.7719301","6.297560415","6.217599619","5.050496828","5.653751541","6.107477128","5.875453066"
"TRIAE_CS42_2AL_TGACv1_094444_AA0297600","7.77331256","7.006350965","8.674302918","6.639667969","6.760080916","5.593245622","6.460753859","4.293159901","4.615496684","5.562061448","4.91012227","7.011259072","5.31431866","4.48119527","5.147447964","4.869946923","6.994419096","5.92326065","5.792940435","5.631745689","5.701489849","6.115432859","5.746560954","4.509767702","6.691963388","7.09036846","6.408304713","6.345724076","6.277975309","6.41417018"
"TRIAE_CS42_2AS_TGACv1_112388_AA0336990","8.321591847","5.885606686","8.658826425","8.017897508","7.217810202","6.059034407","7.162149405","3.972176928","3.696738491","6.757084703","6.150257293","7.570525723","4.539528123","3.860173767","3.3546053","5.847874161","7.902587284","6.517495482","5.416558075","7.119101515","5.421865972","5.16408287","6.417726886","6.098853754","7.396635862","6.730410517","5.344976691","5.552684353","6.202343191","6.039432945"
"TRIAE_CS42_2AS_TGACv1_112832_AA0345940","4.951995784","5.078568048","6.087399532","5.747700472","6.310187333","6.295503981","5.272060656","4.198686559","4.562822027","5.330886197","4.260638358","5.931425223","5.218716645","4.444313404","4.567529584","4.134953734","6.113122289","5.099768862","5.291932024","5.105757577","5.018319032","5.703279015","5.414227538","3.90863728","6.424967884","6.583840664","6.565759214","6.896867219","6.616000926","6.126021663"
