"condition","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT"
"time","3","3","3","7","7","7","10","10","10","13","13","13","15","15","15","17","17","17","19","19","19","21","21","21","23","23","23","26","26","26"
"TRIAE_CS42_3B_TGACv1_220966_AA0725270","5.312402701","5.378430841","5.899445197","6.033735891","6.418938996","5.666450909","5.075355049","4.223309294","4.965658848","5.551388584","5.106078798","5.448042554","5.259228245","4.248708077","5.047609897","4.663439094","6.176924923","5.237308608","5.464865169","5.380086276","5.208999696","5.430910194","5.126419296","4.900656724","5.50722811","5.573840822","5.499227579","4.984305008","5.737852123","6.000394556"
"TRIAE_CS42_3B_TGACv1_221115_AA0730720","6.19249336","6.644355979","7.436941314","7.994568228","8.118093779","6.807353559","6.186864787","5.475035755","6.197864707","7.264317217","7.046377442","7.22565613","6.836333388","6.252300722","6.902567847","6.153426071","7.720665755","7.091750435","7.369670031","7.250791639","7.113410802","6.749020944","6.563305305","6.128575152","7.982023644","7.896846557","7.269491394","7.318731838","7.586001997","7.816771616"
"TRIAE_CS42_3B_TGACv1_221645_AA0746460","5.92184648","4.710430697","6.274950327","7.088492248","5.919162635","3.808882247","5.07579862","3.205737899","2.977741404","6.161730392","6.282453645","5.873477428","3.529297384","2.949688335","3.914021008","4.837075243","6.272288154","4.673762977","5.822903874","6.069903662","5.09436351","3.763522997","4.701389044","5.04407007","5.814428995","5.342812606","4.406525326","5.278624733","4.91338991","4.997887721"
"TRIAE_CS42_3B_TGACv1_223174_AA0777390","5.606698723","6.175457623","6.038801275","6.4983454","6.887804581","5.903010312","5.567519736","4.401477484","5.003899325","5.724222154","5.398710063","5.874039885","5.738908277","4.725172978","5.273419983","4.941085124","7.04205013","5.879093403","5.771684084","5.62916309","5.783015624","5.239421562","5.337456346","5.05017006","5.855796588","5.990726775","5.711710961","4.418004113","5.028763317","5.77689662"
"TRIAE_CS42_3B_TGACv1_223234_AA0778600","5.159629847","5.662581936","5.701446415","5.919006751","6.652149226","5.835766421","5.233416113","3.852273001","3.852273001","5.31556772","5.296886343","5.636085192","4.979708623","3.691376334","4.112511866","4.699243237","6.371073241","5.732269505","5.287579926","5.726196069","4.7100796","5.199882811","4.625737227","4.954121378","5.809039985","5.381688375","5.374041532","5.64676758","5.98025192","5.984603564"
"TRIAE_CS42_3B_TGACv1_224114_AA0792470","6.6707321","6.79042789","6.411338678","7.50854043","7.48387976","5.88859537","6.022299234","5.41748167","5.60404685","6.074531907","6.393794747","6.351752706","5.51800696","5.393309314","5.367773464","5.649889312","7.468290644","6.659692558","6.255652148","6.356213558","5.648590362","4.864051469","5.482857294","5.855258151","6.130582804","6.449121962","3.901220872","3.836154407","4.436176221","6.308508194"
"TRIAE_CS42_3B_TGACv1_224807_AA0801790","6.898874965","7.098920944","7.654831777","7.419320629","7.847602368","6.383994691","6.282274224","5.598725617","6.02035808","6.440043422","6.633890638","6.922082157","6.280397712","5.366858803","5.852719587","5.768614703","7.48369988","7.169134443","6.74015641","7.122673091","6.032683263","5.892425674","6.283798284","6.125230287","7.428190582","7.229961959","5.889512106","6.579694169","7.195944723","7.2558949"
"TRIAE_CS42_3DL_TGACv1_249320_AA0845360","6.517554575","6.896587147","7.526442887","8.126121992","8.214300014","7.041201668","6.334149587","5.722767775","6.121555967","7.600727444","7.341833759","7.533902244","6.737580056","6.014636492","6.587712536","6.155787598","7.744548155","7.333460827","7.458947113","7.493896146","7.075487595","6.97602122","6.840248089","6.539301233","8.046677431","7.749106924","7.226376269","7.3336568","7.629426746","7.647375656"
"TRIAE_CS42_3DL_TGACv1_250121_AA0862420","7.339005086","7.370967146","7.435089877","8.297055119","7.992552579","6.393380029","6.513246431","5.737494453","5.805412039","6.823418867","7.174900405","7.099358626","5.778698216","5.686521016","5.700229504","6.024234208","7.961262107","7.438912802","6.679156877","7.227546297","5.90436953","5.104356333","6.150641147","6.314239836","6.77349219","6.975170907","4.082351263","4.591469762","4.98604201","6.664238087"
"TRIAE_CS42_3DL_TGACv1_250988_AA0875890","5.426143138","5.979366662","6.534573414","6.876904242","6.801784577","5.989404928","5.546535896","4.072621993","4.543379885","6.007278839","6.048324444","6.315896735","5.834339866","4.45094617","5.746570535","5.266181497","6.57992876","6.110471278","6.460057807","5.72342169","5.947862651","5.858053147","5.615188027","5.280876149","5.984653907","6.08138523","5.965402873","5.203055686","5.497299364","6.052305616"
"TRIAE_CS42_3DL_TGACv1_251066_AA0877020","5.836747661","6.179855398","6.497289187","6.415259303","6.700259904","5.983076465","5.422325431","4.417183814","5.466016705","6.0883292","5.692944927","6.114203057","5.642091806","4.668313985","5.506158024","5.091572986","6.756648628","6.07863948","6.162519835","6.061882003","5.68511736","6.095003279","5.747772884","5.232623233","6.262202863","6.110538749","6.284635155","6.005061439","5.926606562","6.247978849"
"TRIAE_CS42_3DL_TGACv1_251277_AA0879580","5.850231573","6.098331328","6.252803286","6.315376085","6.661376365","5.946661461","5.340750223","4.544662995","5.183219036","5.971822907","5.654495937","5.920275426","5.304573754","4.569516065","5.107682147","4.96275022","6.651032969","5.93413809","5.850141737","5.637506979","5.501260251","5.81557665","5.672218533","5.264344261","5.792617493","5.710226666","5.787352186","5.203747313","5.252634619","5.889403305"
"TRIAE_CS42_3DL_TGACv1_252598_AA0890970","6.343996948","6.418821602","6.401832284","6.697323095","6.811255612","5.939447359","5.540217115","4.759307866","5.206891204","6.274297695","5.984353322","6.153669936","5.4087396","4.613451799","5.259620716","5.112310026","7.003177034","6.120038045","6.050941852","5.890681041","5.489544154","5.912887411","5.596301193","5.435894315","5.83540968","5.778270275","5.699318392","4.98086863","5.203277845","5.679464338"
"TRIAE_CS42_3DL_TGACv1_253070_AA0893220","4.345103281","4.395682961","4.712435886","4.89858579","5.408005505","4.54309689","3.980330042","2.493205453","2.493205453","4.575741375","3.897790198","4.273362055","3.37490474","3.18221184","3.299533728","3.586292865","5.094473865","4.220977213","4.139364135","4.054447487","3.597750521","4.017979943","3.763522997","3.835338486","4.78892405","4.469735269","4.278054044","5.161781465","5.274413942","4.772987057"
"TRIAE_CS42_3DS_TGACv1_271450_AA0898770","6.239924907","7.244329439","7.034514089","7.148091702","7.236662185","6.410339671","5.886491595","5.23627014","6.14732448","6.933713334","6.571946262","6.659659878","6.521369596","5.869432497","6.685391424","5.723912499","7.18700578","6.285798075","7.071402552","5.35943636","6.435558687","7.017785584","6.23952137","5.313700881","5.74971268","6.513377429","7.222929821","5.521860038","4.837075243","6.297953163"
"TRIAE_CS42_3DS_TGACv1_271450_AA0898780","6.88497067","7.115151489","7.411832987","7.354224765","7.854361032","6.910319987","6.221694927","5.768802442","6.699749078","6.986137532","6.495818273","6.943312559","6.545806453","5.522051144","6.258519715","5.810320297","7.589347963","6.958486415","6.958024349","6.717775674","6.307827002","6.782235139","6.342337593","5.8567639","6.927853941","7.072757722","6.849013259","6.578017257","6.92961657","7.1746508"
"TRIAE_CS42_3DS_TGACv1_272250_AA0917810","3.000719815","2.839078464","3.972176928","4.500920165","4.511957804","4.597640912","3.852273001","2.312535424","2.208274414","3.18221184","2.895911938","4.54128745","4.096009842","3.095577609","3.529297384","2.778819272","5.015894772","3.740047741","3.808882247","4.370712875","4.220977213","4.552358898","4.46993105","2.895911938","5.841847326","5.09436351","6.111689044","5.895732528","5.945878619","5.130490256"
"TRIAE_CS42_3DS_TGACv1_272946_AA0926870","-2.302585093","1.410986974","2.778819272","3.699760045","3.222867846","4.143510846","2.895911938","2.179929204","0.09531018","1.960094784","1.808288771","3.873282177","3.450644473","2.778819272","3.000719815","1.131402111","4.496083849","3.164875712","2.57261223","3.548553603","3.972176928","4.353126778","3.750654003","0.741937345","5.500510993","5.015669269","6.126530699","5.911855704","5.459466358","4.839688795"
"TRIAE_CS42_3DS_TGACv1_273510_AA0931840","7.239815655","8.000157995","8.204989165","7.932947051","8.532784611","7.218258213","6.88126961","6.481014643","7.067384638","7.160609077","6.936289284","7.442072599","7.42727143","6.401497042","7.105640918","6.47395088","8.255223829","8.049812679","7.64311964","7.556033223","6.849394755","6.854374017","6.979847077","6.581242284","7.93736541","7.856851575","7.05873743","7.367694052","7.866241142","8.015570424"
"TRIAE_CS42_3DS_TGACv1_274243_AA0935140","4.808633343","5.452496617","5.338729677","5.485016826","5.954043014","5.535750336","4.840977216","4.092006832","4.746018495","4.832377469","4.612890309","5.712332486","5.232791692","4.192453851","4.877781767","4.087148734","5.937599528","5.6244398","5.191683819","5.082099775","5.161775733","5.735707407","5.552001762","4.695659674","6.106764502","5.906951864","5.614918474","5.935624088","5.784990657","6.170294599"
"TRIAE_CS42_4AL_TGACv1_288159_AA0938900","5.709985529","4.342828321","6.562353835","7.284954648","6.731750529","5.585722026","5.452882246","4.005445951","4.723423333","5.574805647","5.93564365","6.511654092","5.002455329","3.860150596","4.87310047","5.096301606","6.658848949","6.012812793","5.98965441","6.640338211","5.214446508","5.398238174","5.908709915","5.784280463","6.564095272","5.891265964","5.690987973","5.521138466","6.071139264","6.087564415"
"TRIAE_CS42_4AL_TGACv1_288159_AA0938910","5.330920075","4.128745989","6.144400203","7.0256272","6.990247292","5.690697235","5.438513997","4.291828367","4.455509411","5.460010956","5.814154412","6.22728935","5.460010956","4.044804117","5.240831252","5.063227744","6.579506735","6.3155804","6.116821054","6.34258434","5.602487757","5.555815967","5.736894826","5.739207532","6.248236279","6.001048474","5.602487757","4.91338991","5.900171289","5.903725633"
"TRIAE_CS42_4AL_TGACv1_289610_AA0974040","5.539269401","4.769777433","5.744489263","6.171379043","6.037183333","5.31245693","4.722810989","3.390176878","4.021438688","5.352241946","5.206240454","5.090924125","4.445646765","3.384674969","3.90457131","4.512296934","5.913805663","5.299351831","5.01637214","5.519370735","4.517580824","4.799502655","4.933631852","4.923754818","5.41775237","4.902678819","5.221123098","5.226230428","5.356477778","5.154348839"
"TRIAE_CS42_4AL_TGACv1_290824_AA0989770","8.593594817","7.435272814","8.931180548","7.859281872","7.684659798","4.960092595","7.06598904","5.426926037","5.462228826","6.445343558","6.029215431","7.328811544","4.602281016","5.543472868","5.166744056","5.80770696","7.679598106","6.750641714","5.83064711","6.343699398","5.704971767","5.435018106","5.492674537","5.415086555","6.842635255","7.278021442","5.216032982","3.839037173","5.02019611","6.291580251"
"TRIAE_CS42_4AL_TGACv1_291021_AA0991430","6.010638276","5.955441177","5.847621024","6.698635188","6.692676495","5.809474965","5.510262408","4.254923678","5.386235886","6.288592826","5.918918612","6.09056388","5.3274943","4.631301763","5.0741339","5.25074923","6.97135364","5.915485876","6.233342508","5.998960457","5.46466887","5.856600925","5.668245794","5.352558978","5.896955991","5.794956506","6.16885082","5.684703965","5.705887458","6.081805149"
"TRIAE_CS42_4AL_TGACv1_292230_AA0998160","5.643855526","5.919826215","6.958115638","6.553876422","7.573145782","6.336165336","4.987250659","4.543424561","4.34553639","5.951844954","5.968689657","5.926261805","5.572123613","4.556245663","4.968333038","5.061379104","6.632892027","6.517152675","6.371384471","6.584027288","5.507151018","5.711525751","5.554353961","5.38533416","6.67745367","6.319128461","5.573848413","5.890245444","6.670904461","6.513023858"
"TRIAE_CS42_4AL_TGACv1_292667_AA0999420","6.549792935","6.438826592","6.909439889","6.651938473","7.030752166","6.026107732","5.637265179","5.024932862","5.958682773","6.126198654","5.770423472","6.200711182","5.801121806","4.92797806","5.583870675","5.359915021","7.014527877","6.197717655","6.273066045","6.249317497","5.543976059","5.86288061","5.653513217","5.242276346","6.344056025","6.15507081","5.905633283","5.638709766","5.944568151","6.548010198"
"TRIAE_CS42_4AS_TGACv1_306789_AA1013420","4.15451104","4.316060428","5.068029606","5.068853886","5.26278863","4.345958946","3.922373256","3.656617076","4.174538028","4.400483995","3.808964283","4.536872073","4.463827795","3.379234623","4.082201128","3.844850619","4.993543389","4.487886651","4.548946864","4.482325487","4.015582701","4.119420841","4.314856654","3.668436922","4.690595306","5.015304377","4.827361284","4.864367904","4.802782573","5.014965903"
"TRIAE_CS42_4AS_TGACv1_307303_AA1019290","2.104442643","2.418473001","4.024338678","5.993130658","4.855454083","5.222019306","4.819603917","2.714694744","3.109569758","4.741151076","5.01414247","6.059604388","5.892864461","4.864691953","6.125580144","4.611072732","6.607869713","5.626228058","5.822477687","5.135263","5.695881343","5.570681466","5.572427759","4.069595823","6.894348813","6.574294503","6.83505447","6.301484633","6.290870748","6.643430294"
"TRIAE_CS42_4BL_TGACv1_320395_AA1037640","4.647335598","5.303804783","5.822183097","5.595083429","6.510406841","5.386795168","4.407938016","4.467056884","5.756059885","4.779963476","4.206184044","5.666772303","5.712361569","3.740047741","4.455509411","4.220977213","5.95609718","5.689348809","4.757036831","4.346671441","4.079230924","5.320181593","4.692704759","4.455509411","5.486434596","5.866751303","5.349148304","5.593342413","5.924523141","6.403739747"
"TRIAE_CS42_4BL_TGACv1_320737_AA1047550","3.412460382","3.231361553","4.679163866","5.079850363","4.258827395","4.510841924","4.438470766","1.860534317","2.242005658","4.31072664","3.898593228","5.197866999","4.795294555","3.295203332","4.253856559","3.672574752","5.706940815","4.634379413","4.569242445","4.22505991","4.575205701","4.362251132","4.548615707","2.928876403","6.00910307","5.679216521","5.467498802","5.75140688","5.578544218","5.469973921"
"TRIAE_CS42_4BL_TGACv1_322187_AA1069400","4.191168747","4.527666918","5.24123895","4.518500569","5.196345547","4.381800359","3.782413057","3.404525172","4.407938016","4.102425159","4.079022781","4.235554731","4.432006567","2.646174797","3.817050569","3.808882247","4.966272315","4.55492897","4.645400005","4.400396864","3.866550631","4.220977213","4.050876709","3.716008122","4.606169686","4.999486712","4.683056725","4.745801316","4.92797806","4.999007958"
"TRIAE_CS42_4BL_TGACv1_322713_AA1072770","5.708511276","5.723898778","6.330818342","6.932760038","6.998144279","6.145208716","5.372895942","4.66704579","4.759177998","6.1522645","5.895545432","6.151642739","5.676253677","4.606169686","5.638073491","5.350625146","6.890723051","6.171884297","6.26250453","5.99344758","6.020608215","6.318553613","6.116198922","5.299411767","6.504404933","6.27051573","6.626844893","6.372846982","6.572602771","6.398561656"
"TRIAE_CS42_4BS_TGACv1_327925_AA1078970","5.553676382","5.998628822","6.849271988","6.293859108","7.373637929","5.684015047","4.996603981","5.113570872","4.513371733","5.810155478","5.564734944","5.996156025","5.298027324","4.514629315","4.927333392","4.575855684","6.463581567","6.156213862","6.000850362","6.138461126","5.657131022","5.333959569","5.00471782","5.809078988","6.08537147","6.05604838","4.669964924","5.145172015","5.969009305","6.04884863"
"TRIAE_CS42_4BS_TGACv1_328604_AA1090920","6.116135584","6.092505095","6.5257826","6.396797647","6.753244201","5.566899567","5.173358043","4.867841326","5.736895084","5.720312104","5.425125773","5.943061808","5.44901826","4.57574086","5.187944309","4.890149108","6.598080735","6.032063637","5.963835609","5.953313721","5.10047417","5.285558315","5.222641319","5.118595368","5.891919036","5.883601737","5.499544907","5.075801056","5.592944019","6.164041277"
"TRIAE_CS42_4DL_TGACv1_342726_AA1120400","4.896032197","3.906057246","6.168907556","6.779788944","6.057219516","6.238332438","5.751740547","3.45878052","3.675703025","5.823563513","5.797394243","6.641772074","5.837896614","4.733844804","5.876550205","5.320558195","7.189507303","6.266672895","6.232339956","6.135590865","5.950079894","5.964537753","6.081780458","5.174968244","6.974011075","6.739502294","6.851769942","6.34789171","6.432962601","6.662063159"
"TRIAE_CS42_4DL_TGACv1_343385_AA1133860","6.651421475","7.034893705","6.872949215","6.982041174","7.457238938","6.517604062","6.148628539","5.221386105","5.911614737","6.966116919","6.51292502","6.636446431","6.023641279","5.463945782","5.873836031","5.895182971","7.588126747","6.735209424","6.570708577","6.474681279","6.312189334","6.445760136","6.095366575","6.051223382","6.202660611","6.412238376","6.453562477","5.589699585","5.683660036","6.378760593"
"TRIAE_CS42_4DL_TGACv1_344745_AA1149460","6.211503283","6.746912591","6.639606517","6.592259294","7.151861569","6.356163215","5.845912625","4.803750516","5.663515881","6.485247262","6.10119973","6.238185944","5.687229561","5.013338304","5.58999395","5.467220126","7.194864687","6.517387629","6.321616855","6.138009951","5.930894143","6.222693325","5.969356965","5.689250732","6.062670634","6.028738655","6.031165914","5.777444871","5.712034995","6.225755732"
"TRIAE_CS42_4DS_TGACv1_361684_AA1171560","5.655099805","6.403701673","7.330031617","6.882455932","7.556731112","6.017607327","5.513517452","5.004114077","4.897227672","6.488691122","6.319420264","6.372336371","6.184901185","5.240322721","6.249710729","5.456947996","7.091134609","6.561047639","6.820736629","6.437396387","6.169112701","6.00885004","5.46686111","5.483987477","6.419636558","6.496058293","5.443105785","5.784455753","6.293554205","6.763670105"
"TRIAE_CS42_4DS_TGACv1_361919_AA1174300","8.074667755","6.745465735","8.385833154","7.617671569","7.337737375","4.863106199","6.840840604","5.034455331","4.777018759","6.586330263","6.475690003","6.993430097","4.908391398","5.185829847","5.062712115","5.412311902","7.491442999","6.355444246","5.687480314","6.324926901","5.531545893","4.901256345","5.120925439","5.211992845","6.442879281","6.630717686","5.209193214","4.223104171","4.867697514","6.048640877"
"TRIAE_CS42_4DS_TGACv1_361920_AA1174310","3.61283769","3.933784497","3.933784497","4.161222532","5.436965646","4.055290102","3.529297384","3.399732977","2.646174797","3.586292865","2.714694744","3.953164949","3.335769576","2.825483546","2.895911938","3.299533728","5.041642885","4.710430697","4.065746165","4.07140512","3.61361697","3.600643692","3.261977459","3.486466408","5.142248181","4.655207192","3.790831166","5.04407007","5.186446818","5.109261183"
"TRIAE_CS42_4DS_TGACv1_362079_AA1176500","6.063996373","6.053033311","6.485230768","6.467198989","6.689011895","5.477148892","5.139887887","4.875961001","5.710758234","5.711822599","5.387180513","5.886381493","5.549462897","4.739765762","5.130487968","5.008095538","6.68738443","5.993774801","5.972951458","5.98871665","5.128906662","5.386281952","5.133349677","4.977423327","5.852488358","5.779740513","5.50892017","5.290289479","5.521866636","6.082167128"
"TRIAE_CS42_5AL_TGACv1_373966_AA1185670","6.62768417","5.060485214","8.547668079","4.620226272","4.528588233","4.707230261","4.531159748","2.208274414","2.323994272","3.561594228","1.960094784","5.014421451","3.819787095","2.208274414","2.746302497","3.18772772","5.412328854","4.252487263","3.701541452","4.018042904","3.387253956","3.81348141","3.926067912","2.646174797","5.236415367","5.144676557","3.18221184","3.335769576","3.914021008","4.355491419"
"TRIAE_CS42_5AL_TGACv1_374706_AA1207030","5.462776163","5.707442435","6.208569905","7.176002207","6.916972668","6.501384261","6.146067982","4.808780194","4.935193099","6.0798531","6.674004419","6.653322279","6.004511563","5.231643233","5.686782117","5.6074441","7.322814219","6.64199646","6.631834438","6.657632284","6.315200665","6.579742758","6.556055083","5.947091986","6.907632271","7.064468387","6.667731302","6.106002323","6.172672985","6.509012028"
"TRIAE_CS42_5AL_TGACv1_375282_AA1219060","6.661175482","6.70482971","7.098177272","7.182298919","7.463062369","6.383758292","6.143322601","5.320762089","5.879196899","6.519154663","6.315826246","6.74759709","6.421397852","5.419203139","6.174492105","5.843611081","7.513354029","6.978563169","6.837567766","6.852830134","6.381061079","6.33416201","6.172040832","6.139343458","6.790218713","6.527675714","5.858761383","6.013837398","6.434477496","6.75072947"
"TRIAE_CS42_5AL_TGACv1_376003_AA1230550","4.78422809","4.539305987","5.245891852","5.072933808","5.464793207","5.659649449","4.930415348","3.706937914","3.691548389","3.518615906","3.873282177","4.353431668","4.522248254","3.492110028","3.52889261","3.942701569","5.73050879","5.070450176","4.696846499","4.779963476","3.379152843","3.740047741","3.994877756","3.972176928","5.497356732","5.12717311","3.979274094","5.39999812","5.686714305","5.621964859"
"TRIAE_CS42_5AL_TGACv1_377373_AA1246230","6.551266303","6.72131702","6.93088042","6.954041053","7.145962222","6.152097493","5.813778231","4.880818669","5.805831112","6.620587341","6.198875569","6.465597763","5.743426496","4.940363033","5.554331241","5.608766528","7.323282883","6.636396586","6.481875094","6.581548973","5.92468191","6.232031427","5.904565182","5.702027602","6.368342749","6.303186141","6.269009594","5.877293835","6.182564771","6.492897195"
"TRIAE_CS42_5AS_TGACv1_392881_AA1265790","5.823838294","6.26079545","6.480298459","6.201317387","6.584052114","5.874167799","5.232999609","4.635008173","5.476577688","5.994010528","5.669166547","5.724355916","5.289868125","4.803292091","5.466615089","4.983625937","6.839807144","6.143585218","6.037329126","5.926811086","5.577456678","5.702995899","5.551460012","5.220410959","6.014068544","6.020193466","5.933036068","5.712121277","5.708550107","6.066258659"
"TRIAE_CS42_5AS_TGACv1_397735_AA1283770","7.018491321","7.193760947","7.291724327","6.911846897","7.383430295","6.34229746","6.692207804","5.288771954","6.777760482","7.335699169","6.901837805","6.801394263","6.766306915","6.021266038","6.663260402","6.433100852","7.729339649","6.646520377","7.323896527","6.742998553","6.425031085","6.71913392","6.047608558","5.900171289","6.385363019","6.710644905","6.82339493","6.375195163","6.393757964","6.660703183"
"TRIAE_CS42_5BL_TGACv1_404418_AA1299190","5.620969545","5.719790329","5.981583389","6.307475297","6.730809248","5.517597464","5.13831292","4.424863398","4.8463501","5.256239375","5.132014818","5.693456006","5.10702368","3.906576198","4.746252995","4.889145397","6.384193899","6.186825717","5.398108401","5.786335874","5.04339931","4.901118003","4.760454509","4.998400756","5.690139836","5.371158823","4.38028011","4.597207568","5.212568828","5.912618831"
"TRIAE_CS42_5BL_TGACv1_405531_AA1329640","6.670803709","6.843356908","7.097971011","7.049676367","7.268256145","6.226903598","6.034126448","5.093814677","5.945373749","6.755638879","6.421658365","6.681237291","6.001922917","5.103505226","5.822753841","5.506790146","7.438735468","6.677597183","6.693356753","6.645907281","6.099429992","6.225059492","6.027540899","5.731140151","6.583509494","6.417008388","6.397679541","6.061029088","6.20350529","6.580610427"
"TRIAE_CS42_5BL_TGACv1_406163_AA1341560","7.214798705","5.082776095","8.960856695","4.732164005","4.508977517","4.573559801","4.251312698","3.000719815","3.460610289","3.886469272","2.57261223","5.006981962","3.904482648","3.222867846","2.828951333","3.731910208","5.332747778","4.044525619","4.122126706","4.041158249","4.235596698","4.354982979","4.353088177","3.275679509","5.341496581","5.179342371","3.763522997","3.873282177","3.904025107","4.775899815"
"TRIAE_CS42_5BL_TGACv1_407645_AA1358580","5.321051966","2.578199645","7.8162114","4.324335285","4.062165664","4.318820559","3.507210684","2.091864062","2.406945108","3.071182915","2.312535424","4.066800346","3.04927304","0.741937345","2.646174797","3.095577609","4.494905442","3.244453899","3.691376334","3.095577609","3.095577609","3.83081295","3.520330617","2.208274414","4.450924002","4.126011174","2.778819272","3.222867846","3.640214282","4.14472077"
"TRIAE_CS42_5BS_TGACv1_423369_AA1375270","4.280547051","3.82556711","4.896747412","5.599536153","5.142673573","5.570760666","3.880936385","2.312535028","3.552775326","3.934944294","4.532233835","4.870443293","4.595698471","3.47677475","4.12109035","3.53051131","5.772929734","4.092131114","4.064780143","4.248640946","4.187326276","4.667726118","4.55965909","3.667060646","5.331397147","5.148991031","5.637883384","4.511195714","4.666502322","4.524200882"
"TRIAE_CS42_5BS_TGACv1_424024_AA1386160","6.02617269","6.803726099","6.65314557","6.381540176","6.58995346","5.799519836","5.129229852","5.09805381","6.302710547","5.902042995","5.436495447","5.882466869","5.613777531","5.048605225","5.539540493","4.76370268","6.439872599","5.862764323","5.918436761","5.511858966","5.163648184","5.704472237","5.389131089","4.962662796","5.308163732","5.492876241","5.51766974","4.947624494","5.001829974","5.708010192"
"TRIAE_CS42_5BS_TGACv1_424441_AA1389760","6.556945315","6.981483508","6.975669035","6.943879761","7.526742857","6.688517465","6.125484733","5.149697281","6.070249618","6.951189602","6.512568171","6.752149354","5.992933538","5.2236637","5.954373864","5.772008563","7.581291006","6.910718942","6.63810418","6.572585434","6.329208831","6.515203089","6.301895367","5.946404439","6.534919605","6.569376646","6.532462959","6.065496088","6.110495249","6.637155719"
"TRIAE_CS42_5BS_TGACv1_424513_AA1390380","6.218663066","6.462570693","6.848483929","6.677233324","6.989692806","6.269685125","5.704294677","4.897226926","5.77899291","6.362983103","6.015097086","6.289861571","5.919698638","5.121709655","5.857656831","5.356468815","7.171513187","6.459270451","6.493286257","6.287261728","5.899720352","6.189161051","5.952353328","5.538573656","6.433184436","6.364711169","6.500876522","6.147705184","6.147200612","6.400564707"
"TRIAE_CS42_5DL_TGACv1_432937_AA1395210","7.989789576","6.608456918","9.118892952","5.688605248","5.577154815","5.657411432","5.739551726","3.586291757","3.936660397","4.557640327","3.529297971","6.167367633","4.615923165","3.666122211","3.605155395","3.987783326","6.46437878","5.021283071","4.291828367","4.826836647","4.414162211","4.683303965","4.91173299","3.886476453","6.270749084","6.139805023","4.332047608","4.383277103","5.007953702","5.374251492"
"TRIAE_CS42_5DL_TGACv1_433028_AA1398790","7.378442362","7.159036507","7.71472513","7.866973614","8.295699703","7.151725717","6.850011647","5.881256189","6.000183675","6.883838018","6.999527298","7.244257587","6.576367057","5.425392387","6.198766683","6.578945485","8.1947651","7.813600365","7.050721647","7.711799396","6.534443856","6.572543488","6.820983364","6.984502779","7.520887081","7.034602709","5.803428695","6.540233463","7.31641468","7.477741112"
"TRIAE_CS42_5DL_TGACv1_433458_AA1413630","7.070435196","6.060118028","7.754490124","8.466240892","8.238280555","7.695994434","6.879899895","5.277001795","5.159635591","7.687469988","7.573006973","7.444459154","5.729989936","4.763028629","5.25801607","6.568803772","7.630208803","7.102491125","7.16509154","7.783761372","6.681259866","6.390483926","7.288176046","7.339271426","7.517537155","6.977812917","5.833294969","6.792972737","7.668612509","7.089159749"
"TRIAE_CS42_5DL_TGACv1_434974_AA1444340","5.453095135","4.757589768","5.848144545","6.536097363","5.301417257","4.839941868","4.700544","1.623561701","2.916570012","6.08398493","6.092673206","5.287246308","3.528159787","2.977538771","2.487287147","4.770421878","5.552709166","4.217187368","5.399428416","5.083997274","4.392710607","4.041105516","4.722013046","4.847189347","3.346026403","2.984560097","3.734027279","1.808288771","1.336696996","3.102737436"
"TRIAE_CS42_5DL_TGACv1_435071_AA1445660","7.340116878","7.89421512","7.533445551","8.042868239","8.463811528","7.663247013","7.035883207","5.875008537","6.5679431","7.775222931","7.292679509","7.321120102","6.621445598","5.991112445","6.573623694","6.604722519","8.121579638","7.449957062","7.252735647","7.209024452","7.164260876","7.418483298","6.900469327","6.875003234","6.859439652","7.173113008","7.011647304","5.716014688","5.855078265","6.845998928"
"TRIAE_CS42_5DL_TGACv1_436129_AA1458370","6.528162575","6.787573243","6.915128033","6.886969749","7.152488096","6.307028653","5.991424546","4.864074626","5.799353227","6.637285554","6.252061867","6.513743332","5.789847015","5.117280984","5.687127887","5.620882634","7.350850092","6.560374156","6.502899485","6.545371212","5.876438021","6.019223186","5.993629701","5.668172568","6.319213129","6.268757211","6.274564262","5.839600418","6.051119287","6.440766301"
"TRIAE_CS42_5DL_TGACv1_436840_AA1463530","5.112288948","2.895911938","7.404978812","3.740047741","3.374374168","3.370738174","2.899045146","1.960094784","2.091864062","2.71943185","1.960094784","3.668148546","2.646174797","0.741937345","2.091864062","2.493205453","4.092946919","3.022972857","3.095577609","2.778819272","2.646174797","2.778819272","2.667533715","2.312535424","4.096009842","3.796064305","2.714694744","2.778819272","3.335769576","3.61361697"
"TRIAE_CS42_5DS_TGACv1_457224_AA1483920","5.628031102","5.931070439","6.473644694","6.082712693","6.381698582","5.607320398","4.977343763","4.1398866","5.386566311","5.990229735","5.612153179","5.798392743","5.41224962","4.395180986","5.394250125","4.810442433","6.695863241","6.009387222","6.087706111","5.924719326","5.467591677","5.706688249","5.488252367","4.734345856","6.051142839","6.024032652","5.968809857","5.753841675","5.775257818","5.811524153"
